straat,afvalbakken,lichtpalen
Weena,30,176
Westersingel,28,258
Westblaak,28,91
Coolsingel,25,273
Blaak,25,172
Nieuwe Binnenweg,25,77
West-Kruiskade,25,57
Mariniersweg,24,47
Rochussenstraat,21,129
Karel Doormanstraat,21,86
Lijnbaan,20,41
Meent,20,41
Melkkoppad,19,12
Schiedamsedijk,18,114
Binnenrotte,15,190
Wijnhaven,15,86
Vasteland,15,54
Wytemaweg,15,48
Parkkade,15,45
Delftseplein,14,27
Groenendaal,14,24
Westzeedijk,13,119
Grotekerkplein,13,66
G.J. de Jonghweg,13,57
Conradstraat,13,45
Westerkade,13,30
Goudsesingel,12,47
Museumpark,11,157
Hoogstraat,11,47
1e Middellandstraat,11,40
Eendrachtsweg,11,39
Gedempte Zalmhaven,11,36
's-Gravendijkwal,10,178
Oostplein,10,57
Kruiskade,10,41
Leuvehoofd,10,35
Veerhaven,10,21
Dr. Molewaterplein,10,14
Willemskade,9,48
Pompenburg,9,31
Eendrachtsplein,9,30
Veerkade,9,23
Witte de Withstraat,9,15
Mathenesserlaan,8,59
Parklaan,8,55
Terwenakker,8,47
Mauritsweg,8,25
Van Oldenbarneveltplaats,8,25
Kievitslaan,8,23
Gerrit Sterkmanplein,8,8
Boompjes,7,99
Kruisplein,7,67
Burgemeester van Walsumweg,7,53
Park,7,47
Achterklooster,7,23
Botersloot,7,21
Weena-zuid,7,21
Aert van Nesstraat,7,10
Josephlaan,7,7
Wijkpark Oude Westen,7,1
Boompjeskade,6,213
Schiedamsesingel,6,39
Schiedamse Vest,6,32
Heuvellaan,6,30
Josephstraat,6,27
Coolhaven,6,23
Oosterkade,6,22
Nieuwstraat,6,13
Delftsestraat,6,10
Zimmermanweg,6,7
Beurstraverse,6,0
Museumlaanbrug,6,0
Baden Powelllaan,5,50
Geldersekade,5,30
Haringvliet,5,29
Van Speykstraat,5,28
Scheepmakershaven,5,25
het Landje,5,24
Pannekoekstraat,5,21
Sint-Jacobsplaats,5,19
Westplein,5,18
Gaffelstraat,5,15
Glashaven,5,12
Diergaardesingel,4,45
Schiekade,4,36
Bolwerk,4,31
Burgemeester s'Jacobplein,4,25
Jongkindstraat,4,24
Binnenwegplein,4,20
Schiestraat,4,16
Haagseveer,4,14
Beursplein,4,12
Hartmansstraat,4,11
Houtlaan,4,9
Plein 1940,4,9
Korte Lijnbaan,4,8
Grotemarkt,4,4
Nottebohmbrug,4,0
Parkhaven,3,110
Maasboulevard,3,70
Karel Doormanhof,3,30
Stationsplein,3,29
Eendrachtsstraat,3,28
Gouvernestraat,3,28
Hofplein,3,25
Weenatunnel,3,23
Van Oldenbarneveltstraat,3,22
Boerengatkade,3,21
Korte Hoogstraat,3,15
Zijdewindeplein,3,15
Keizerstraat,3,14
Kipstraat,3,14
Van Vollenhovenstraat,3,14
Verlengde Nieuwstraat,3,12
Bloemkwekersstraat,3,9
Wolfshoek,3,8
Rijnhoutplein,3,4
Westewagenstraat,3,4
Koningsdam,3,3
Gouvernedwarsstraat,3,2
FranCoisbrug,3,0
Museumtuinbrug,3,0
Zocherbrug,3,0
Willemsplein,2,109
Overblaak,2,54
Henegouwerlaan,2,51
Mauritsstraat,2,38
André van der Louwbrug,2,30
Oude Binnenweg,2,29
Jan Evertsenplaats,2,23
Calandstraat,2,22
Schouwburgplein,2,22
Westerstraat,2,20
Scheepstimmermanslaan,2,18
Sint-Mariastraat,2,18
Zijdewindestraat,2,17
Stadhuisplein,2,15
Steiger,2,15
Hang,2,12
Hobokenstraat,2,12
Hennekijnstraat,2,11
Herenplaats,2,10
Poortstraat,2,10
Goudsewagenstraat,2,9
Saftlevenstraat,2,8
William Boothlaan,2,8
Ds. Jan Scharpstraat,2,7
Oppert,2,7
Rodezand,2,7
Doelwater,2,6
Toni Koopmanplein,2,6
1e Westblaakhof,2,5
Schilderstraat,2,5
Palmdwarsstraat,2,4
Pieter de Hoochbrug,2,3
Sint-Jacobstraat,2,3
Hooimarkt,2,2
Punt,2,1
Weenapad,2,1
Heuvelbrug,2,0
Kraneschipbrug,2,0
Marten Toonderplein,2,0
Hertekade,1,154
Willemsbrug,1,43
Joost Banckertsplaats,1,34
Oostmolenwerf,1,28
Spaansekade,1,28
Gelderseplein,1,24
Breitnerstraat,1,20
Oudehavenkade,1,20
Couwenburg,1,19
Noordmolenwerf,1,18
Adrianastraat,1,16
Kogelvangerstraat,1,16
Nieuwehaven,1,16
Nieuwe Leuvebrug,1,15
Spaansepoort,1,15
Wijnstraat,1,14
Boomgaardhof,1,13
Delftsevaart,1,13
Nieuwemarkt,1,13
Raampoortstraat,1,13
Jacobusstraat,1,12
1e Blekerhof,1,10
Bloemstraat,1,9
Delftsehof,1,9
Vlasmarkt,1,8
Adrianaplein,1,6
Mauritsplaats,1,6
Oost-Wijnstraat,1,6
Oostmolenstraat,1,6
Parkstraat,1,6
Tiendplein,1,6
Zwarte Paardenstraat,1,6
1e Nieuwstraathof,1,5
Bulgersteyn,1,5
Gaffeldwarsstraat,1,5
Oudehoofdplein,1,5
Raamplein,1,4
Stadhuisstraat,1,4
Vogelenzang,1,4
Zoutmanstraat,1,4
Bagijnenstraat,1,3
Raam,1,3
1e Sint-Janshof,1,2
Halstraat,1,2
Admiraliteitskade,1,1
Geldersestraat,1,1
Wijde Kerkstraat,1,1
Brouwerijstraat,1,0
Delftseveer,1,0
Eendengang,1,0
Halvemaanpassage,1,0
Krattenbrug,1,0
Kruispleintunnel,1,0
Nieuwland,1,0
Oostzeedijk,1,0
Pieter de Hoochweg,1,0
Plaza,1,0
Spaansehof,1,0
Stokviswater,1,0
Tuschinskipark,1,0
Westnieuwland,1,0
Droogleever Fortuynplein,0,54
Diergaardetunnel,0,44
Statentunnel,0,41
Leuvehaven,0,40
Baan,0,33
Kortenaerstraat,0,28
Maastunnel,0,27
Erasmusbrug,0,26
Academieplein,0,25
Scheepmakerskade,0,23
Zalmhaven,0,21
Jufferkade,0,20
Wijnkade,0,19
Schaatsbaan,0,18
Schietbaanstraat,0,18
Koningin Emmaplein,0,17
Doelstraat,0,16
Karl Weisbardstraat,0,16
Van Ghentstraat,0,15
Boomgaardsstraat,0,14
Lombardkade,0,14
Regentessebrug,0,14
Prinsenhof,0,13
Akeleistraat,0,12
Blekerstraat,0,12
Coolsestraat,0,12
Drievriendenstraat,0,11
Mariniershof,0,11
Valkenstraat,0,11
Westerlaan,0,11
Bajonetstraat,0,10
Bredestraathof,0,10
Academiestraat,0,9
Churchillplein,0,9
Galerij,0,9
Ochterveltstraat,0,9
Rijstuin,0,9
Schiedamse Vesthof,0,9
Sint-Luciastraat,0,9
1e Goudsewagenhof,0,8
Crispijnstraat,0,8
Halhof,0,8
Kromme Elleboog,0,8
2e Blekerhof,0,7
Achterharingvliet,0,7
Anna Paulownastraat,0,7
Binnenrottehof,0,7
Jufferstraat,0,7
Keerweer,0,7
Koestraat,0,7
Maasstraat,0,7
Museumstraat,0,7
Rederijstraat,0,7
Zalmstraat,0,7
2e Goudsewagenhof,0,6
2e Sint-Janshof,0,6
3e Goudsewagenhof,0,6
3e Sint-Janshof,0,6
Batavierenstraat,0,6
Bierstraat,0,6
Botersloothof,0,6
Bredestraat,0,6
Lijnbaanhof,0,6
Posthoornstraat,0,6
Sint-Laurenshof,0,6
Tiendstraat,0,6
Tuindersstraat,0,6
Van Brakelstraat,0,6
Zijl,0,6
Brandersplaats,0,5
Jufferhof,0,5
Kruiskadehof,0,5
Kruisstraat,0,5
Meenthof,0,5
Opperthof,0,5
Rodezandhof,0,5
Tom Mandershof,0,5
Van Bijlandtplaats,0,5
Witte de Withhof,0,5
Zwartehondstraat,0,5
Coolsedwarsstraat,0,4
Delftse Poort,0,4
Delftsevaarthof,0,4
Leeuwenstraat,0,4
Rivierstraat,0,4
Sint-Janstraat,0,4
Slepersvest,0,4
Spanjaardsbrug,0,4
Wijnbrugstraat,0,4
Witte de Withbrug,0,4
Zeemansstraat,0,4
2e Westblaakhof,0,3
Aert van Neshof,0,3
Doorbraak,0,3
Drievriendendwarsstraat,0,3
Ketelaarsstraat,0,3
Librijesteeg,0,3
Molstraat,0,3
Pannekoekhof,0,3
Rochussenhof,0,3
Samuel Soesmanstraat,0,3
Soetensteeg,0,3
Spaarbankstraat,0,3
1e Coolhavenbrug,0,2
2e Coolhavenbrug,0,2
2e Nieuwstraathof,0,2
Abraham Tuschinskistraat,0,2
Bulgersteynhof,0,2
Gapersteeg,0,2
Hoornbrekersstraat,0,2
Kolk,0,2
Pierre Baylestraat,0,2
Singelstraat,0,2
Vissersdijk,0,2
Vissteeg,0,2
Zandstraat,0,2
1e Westewagenhof,0,1
2e Westewagenhof,0,1
4e Westewagenhof,0,1
Boshoek,0,1
Provenierstunnel,0,1
