SPEELPLEKCODE,STRAAT,WIJK,DOELGROEP,afstand_m
10570,Colosseumweg,Hillesluis,Sport- en Speel,0.0
10840,Charloisse Hoofd,Oud Charlois,Sport- en Speel,0.0
12225,Leuvehoofd,Stadsdriehoek,Centrale Ontmoe,0.0
11734,Roel Langerakpark,Blijdorpsepolder,Centrale Ontmoe,0.3
11915,Lodijk,Groot IJsselmonde,Pocketpark,0.4
11453,Burgemeester Bosplein,Overschie,Pocketpark,1.6
12221,Bolwerk,Stadsdriehoek,Speelplekje,1.6
12059,Spaanseweg,Oud Mathenesse,Sport- en Speel,2.4
1085,Finnjolstraat,Oud IJsselmonde,Sport- en Speel,2.5
12233,Karel Doormanhof,Cool,Speelplekje,3.7
10382,Brielselaan,Tarwewijk,Speelplekje,3.7
11925,Melanchtonweg,Schiebroek,Speelplekje,3.7
10565,Van Blommesteynstraat,Oud Charlois,Sport- en Speel,4.0
11702,Anatole Franceplaats,Ommoord,Speelplekje,4.3
429,Weimansweg,Vreewijk,,4.5
11943,Anatole Franceplaats,Ommoord,Pocketpark,4.9
11824,Westblaak,Cool,Sport- en Speel,5.6
581,Mercatorweg,Dorp,Sport- en Speel,5.8
10770,Beverwaardseweg,Oud IJsselmonde,Pocketpark,6.2
11074,Brielselaan,Tarwewijk,Urbansport,6.6
1056,Soetendaalsestraat,Oude Noorden,Sport- en Speel,6.7
12290,Adriaan Volkerlaan,Groot IJsselmonde,Centrale Ontmoe,7.2
409,Donkerslootstraat,Hillesluis,Speelplekje,7.2
11562,Trompstraat,Rozenburg,Centrale Ontmoe,7.3
11918,Willem Ruyslaan,Kralingen West,Sport- en Speel,7.4
224,Venkelweg,Hoogvliet Noord,Sport- en Speel,7.5
12219,Bovendijk,Zestienhoven,Sport- en Speel,7.6
11129,Groenezoom,Vreewijk,Sport- en Speel,7.8
10200,Rochussenstraat,Middelland,Sport- en Speel,7.8
10922,Albert Camusplaats,Ommoord,Speelplekje,7.9
10170,Middenhagen,Groot IJsselmonde,Sport- en Speel,7.9
10314,Robert Owenstraat,Hillegersberg Zuid,Restruimte,8.7
1408,Josephstraat,Oude Westen,Sport- en Speel,8.8
12185,Beekweg,Zestienhoven,Centrale Ontmoe,8.8
11673,Slingeplein,Zuidwijk,Sport- en Speel,9.0
11337,Spuikade,Oud Charlois,Sport- en Speel,9.2
10563,Spuikade,Oud Charlois,Sport- en Speel,9.3
129,Henk Miliusstraat,Hoogvliet Zuid,Sport- en Speel,10.1
10480,Vaandrigstraat,Oud Crooswijk,Speelplekje,10.2
10900,Prins Hendrikweg,Dorp,Speelplekje,10.2
10866,Feijenoordstraat,Noordereiland,Centrale Ontmoe,10.5
12093,Korte Stadionweg,Feijenoord,Sport- en Speel,10.9
11766,Terbregse Rechter Rottekade,Molenlaankwartier,Centrale Ontmoe,11.0
957,Bilderdijkstraat,Spangen,Speelplekje,11.0
1200,Terwenakker,Stadsdriehoek,Restruimte,11.2
11959,Batterijstraat,Vreewijk,Restruimte,11.3
438,Colosseumweg,Hillesluis,Sport- en Speel,11.5
556,Karapad,Heijplaat,,11.8
11345,Rochussenstraat,Oude Westen,Speelplekje,11.9
10312,Snellinckstraat,Middelland,Restruimte,12.1
10442,Schulpplein,Oud Charlois,Sport- en Speel,12.4
743,Kapelplein,Delfshaven,Sport- en Speel,12.5
10993,Prinses Margrietlaan,Hillegersberg Zuid,Sport- en Speel,12.9
421,Hillekopplein,Afrikaanderwijk,Sport- en Speel,13.0
11358,Heer Vrankestraat,Oude Noorden,Sport- en Speel,13.1
513,Sint-Janshaven,Oud Charlois,Centrale Ontmoe,13.1
1355,Cornelis Kraanstraat,s Gravenland,Sport- en Speel,13.8
1104,Nieuwe Crooswijkseweg,Nieuw Crooswijk,Pocketpark,14.0
11276,Koning Willem III weg,Strand en Duin,Speelplekje,14.0
1055,Heer Vrankestraat,Oude Noorden,Speelplekje,14.0
1212,Wollefoppenweg,Ommoord,Centrale Ontmoe,14.2
12087,Piet Cottaarstraat,Overschie,Sport- en Speel,14.3
603,Rosestraat,Kop van Zuid - Entrepot,Centrale Ontmoe,14.9
12258,Middenbaan-Zuid,Hoogvliet Zuid,Sport- en Speel,15.1
11889,Vasteland,Stadsdriehoek,Sport- en Speel,15.3
1010,Tamboerstraat,Oud Crooswijk,Speelplekje,15.6
11977,Schiedamsesingel,Cool,Speelplekje,15.7
597,Dirk van den Burgweg,Dorp,Sport- en Speel,16.0
897,Brigantijnstraat,Oud Mathenesse,Speelplekje,16.2
12268,Leen van der Houwenstraat,Strand en Duin,Sport- en Speel,16.2
12260,Busken Huetstraat,Spangen,Pocketpark,16.5
11989,Einsteinplaats,Ommoord,Sport- en Speel,17.3
12277,Wil Vinjestraat,Strand en Duin,Sport- en Speel,17.6
10122,Struikheide,Ommoord,Sport- en Speel,17.9
11969,Spinozapark,Lombardijen,Pocketpark,18.0
11485,Colosseumweg,Hillesluis,Speelplekje,18.8
793,De Tempelstraat,Liskwartier,Sport- en Speel,18.9
275,Rozenlaan,Hillegersberg Zuid,Sport- en Speel,19.1
10906,Hein Willemsestraat,s Gravenland,Speelplekje,19.1
